区分,タスク内容,期限の数え方（条文・案内ベース）,Re-Start具体日（2026/01/23 設立・第1期 2026/01/23〜2026/12/31・個人事業並存・初給与2026/05/25）,提出先・窓口,根拠・参考リンク,Re-Startメモ（個人事務所→法人成り＋個人事業並存／東弁／代表社員のみ／事務員なし）
E_社会保険,健康保険：適用除外承認申請（弁護士国保を継続したい場合）,新規適用と同時（多くは5日以内）,2026/01/28（水）目安,東京都弁護士国民健康保険組合（経由）／管轄年金事務所,https://www.bengoshi-kokuho.or.jp/member/eligibility/establish.html,"先生が現在 弁護士国保なら継続可能性あり。期限を逃すと協会けんぽに自動移行リスク。"
E_社会保険,健康保険被扶養者異動届／国民年金第3号関係届（家族がいる場合のみ）,事実発生から5日以内,該当時のみ,豊島年金事務所,https://www.nenkin.go.jp/service/kounen/jigyonushi/index.html,"配偶者・子の有無による。"
E_社会保険,保険料口座振替納付申出書（任意）,任意・適用後すみやかに,2026年2月,豊島年金事務所,https://www.nenkin.go.jp/,"納付実務がスムーズに。"
F_労働保険・雇用保険,事務員雇用がない間は手続不要,—,—（不要）,—,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000164500_00002.html,"代表社員は労働者ではなく雇用保険・労災ともに当面対象外。"
G_労務,就業規則・36協定・労働条件通知書・法定3帳簿等,—,—（不要・将来雇用時に発動）,—,—,"事務員雇用までは法令上の作成・届出義務はない。"
H_個人事業・並存運用（既存個人事務所を維持する場合）,**【並存】個人事業の廃業届出書 → 提出しない,—,**不要**,—,https://www.nta.go.jp/taxes/shiraberu/shinkoku/yoshiki/04.htm,"個人事業を継続するため。"
H_個人事業・並存運用（既存個人事務所を維持する場合）,**【並存】個人の青色申告取りやめ届 → 提出しない,—,**不要**,—,https://www.nta.go.jp/taxes/shiraberu/shinkoku/yoshiki/03/03_07.htm,"個人の青色申告は継続。"
H_個人事業・並存運用（既存個人事務所を維持する場合）,**【並存】消費税の事業廃止届出書 → 提出しない,—,**不要**,—,https://www.nta.go.jp/taxes/shiraberu/shinkoku/yoshiki/02/03.htm,"個人の消費税課税事業者は継続。"
H_個人事業・並存運用（既存個人事務所を維持する場合）,**【並存】個人の給与支払事務所等の廃止届 → 提出しない,—,**不要**,—,https://www.nta.go.jp/taxes/shiraberu/shinkoku/yoshiki/01/annai/1648_37.htm,"事務員ゼロ前提なら最初から無いはず。"
H_個人事業・並存運用,**【並存】収入区分・経費区分ルールの明文化（最重要）,法人化と同時に運用開始,2026/01/23 から運用,事務所内（書面化）,https://www.nta.go.jp/,"**どの事件を個人で受け、どの事件を法人で受けるかの基準を文書化。** 既存事件は委任主体を明示して新規受任は法人優先など、合理的な分配理由が必要（後日の税務調査対策）。"
H_個人事業・並存運用,**【並存】個人と法人の業務委託契約・経費按分ルール,法人化と同時,2026/01/23 から運用,事務所内,https://www.nta.go.jp/,"事務所家賃・通信費・複合機・法律情報サービス等を個人と法人で按分する場合、合理的按分基準を文書化（時間按分、収入按分、面積按分等）。**寄附金認定リスクを避けるため、相互の利用契約を整備。**"
H_個人事業・並存運用,**【並存】個人事業の銀行口座（普通・預り金）と法人口座を完全分離,法人口座開設後,2026/02 まで,取引銀行,—,"個人と法人で**完全に別口座**。預り金口座も個別に持つ。"
H_個人事業・並存運用,**【並存】個人事業の確定申告（毎年）,翌年3月15日,2027/03/15（月）／以後毎年,個人の所轄税務署,https://www.nta.go.jp/,"個人事業所得＋法人からの給与所得の合算申告。給与所得控除と事業所得を分離計算。"
H_個人事業・並存運用,**【並存】個人事業税の継続申告・納付,東京都の運用,毎年,東京都主税局／所轄都税事務所,https://www.tax.metro.tokyo.lg.jp/,"継続。"
H_個人事業・並存運用,**【並存】個人インボイス登録の継続維持と法人インボイスとの併用運用,—,2026/01/23 から運用,—,https://www.nta.go.jp/taxes/shiraberu/zeimokubetsu/shohi/keigenzeiritsu/pdf/qa/01-04.pdf,"**個人事業のインボイス番号は維持**。請求書発行主体ごとに番号を使い分け（個人受任→個人番号、法人受任→法人番号）。"
H_個人事業・並存運用,**【並存】既存事件の引継ぎ方針（個人継続 or 法人移管）の決定と依頼者通知,順次（速やかに）,2026/01〜数か月,事務所内→依頼者,—,"既存事件をどちらで受任継続するか個別判断。法人移管する場合は委任契約の巻き直し・印紙・名義変更通知が必要。"
I_金融・契約,法人名義の銀行口座開設（普通口座／預り金口座）,設立登記後すぐ,2026/01末〜02月,取引銀行（要：登記事項証明書・印鑑証明書・本人確認）,—,"預り金は弁護士職務基本規程・東弁規程に従う名義。**個人預り口とは別管理**。"
I_金融・契約,事務所賃貸借・電気・通信・複合機・各種サブスクの整理,順次（早めに）,2026/01〜03,各取引先,—,"**並存運用なので名義変更ではなく『個人契約のまま使用＋法人と按分契約』 または 『法人名義に切替＋個人に貸与契約』 のどちらかを選択。** 賃貸借は貸主の同意要。"
I_金融・契約,法人クレジットカード（必要に応じて）,設立登記後,2026年2月以降,カード会社,—,"経費精算の効率化。"
J_業務基盤,名刺・封筒・レターヘッド・HP・メール署名・各種ひな形（請求書・委任契約書・通知書）の更新（個人版・法人版の両方を整備）,順次（速やかに）,2026/01〜02,事務所内,—,"**個人受任用と法人受任用の2セット運用**。代表表記は『弁護士法人Re-Start法律事務所　代表社員 弁護士 米谷尚起』。"
J_業務基盤,日弁連検索・東弁名簿・自社HPの登録更新,設立後すぐ,2026年2月,東京弁護士会／日弁連／自社HP,—,"クライアントが見る情報源の整合。"
K_第1期以後,**第1期 法人確定申告（法人税・地方法人税・消費税・都民税等）,事業年度終了の翌日から2か月以内,2027/03/01（月）（2027/02/28 が日曜のため翌営業日）,豊島税務署／豊島都税事務所,https://www.nta.go.jp/,"第1期は2026/01/23〜2026/12/31。"
K_第1期以後,法人住民税の均等割（赤字でも発生）,各事業年度,個別,豊島都税事務所,https://www.tax.metro.tokyo.lg.jp/,"23区内法人は都税事務所一括。"
K_第1期以後,源泉所得税の納付（納期特例適用時）,1〜6月分→7/10、7〜12月分→1/20（休日順延あり）,2026/07/10（金）／2027/01/20（水）,豊島税務署／金融機関,https://www.nta.go.jp/taxes/shiraberu/taxanswer/gensen/2505.htm,"代表社員役員報酬の源泉。"
K_第1期以後,**第2期以降の役員賞与（事前確定届出給与）の届出,株主総会等の決議日から1月／職務執行開始日から1月／事業年度開始から4月のうち最も早い日,**第2期（2027事業年度）に賞与なら：2027/04/30（金）が最終目処。実務は2027/03末〜04月初の社員総会で決議→1か月以内に届出,豊島税務署,https://www.nta.go.jp/taxes/shiraberu/taxanswer/hojin/5100.htm,"**ここを毎年忘れると賞与が損金にならない。** 役員報酬改定（定期同額の通常改定）も同じ会計期間開始から3か月以内（=2027/03/31）。"
